,Year,Movie_name,Role,Actor,Action,Adventure,Comedy,Drama,Thriller,Crime,History,Mystery,Fantasy,Family,Romance,War,Biography,Director,Rating
99,1998,Ayal Kadha Ezhuthukayanu,Sagar Kottappuram / Vidyasagar,Mohanlal,,,1,1,,,,,,,1,,,Kamal,7
235,1998,Oru Maravathoor Kanavu,Michael,Biju Menon,,,1,1,,,,,,,,,,Lal Jose,6.9
100,1998,Summer in Bethlahem,Niranjan,Mohanlal,,,1,1,,,,,,,,,,Sibi Malayil,7.8
237,1998,Kannezhuthi Pottum Thottu,Uthaman,Biju Menon,,,,1,,,,,,,,,,T.K.Rajeev Kumar,7.1
98,1998,Rakthasakshikal Sindabad,Siva Subrahmanya Iyyer,Mohanlal,1,,,1,,,,,,,,,,Venu Nagavalli,5.8
94,1999,Olympiyan Anthony Adam,Chakkummoottil Varghese Antony,Mohanlal,,,,,1,1,,,,,,,,Bhadran,6.5
238,1999,Chandranudikkunna Dikhil,Radha's Husband,Biju Menon,,,,,,,,,,,1,,,Lal Jose,6.8
95,1999,Vanaprastham,Kunjikuttan,Mohanlal,,,,1,,,,,,,,,,Shaji N.Karun,8.2
93,1999,Ustaad,Parameswaran / Ustaad,Mohanlal,1,,,1,1,,,,,,,,,Sibi Malayil,6.5
58,2000,Arayannagalude Veedu,Ravindranath,Mammmootty,,,,1,,,,,,,,,,A.K.Lohithadas,7
372,2000,Arayannangalude Veedu,Suresh Nair,Siddique,,,,1,,,,,,,,,,A.K.Lohithadas,7
90,2000,Life is Beautiful,Vinaya Chandran,Mohanlal,,,1,1,,,,,,,,,,Fazil,6.3
91,2000,Sraddha,Gangaprasad IPS,Mohanlal,,,,,1,1,,,,,,,,I.V.Sasi,3.6
185,2000,Madhuranombarakattu,Vishnu,Biju Menon,,,,1,,,,,,,,,,Kamal,6.5
186,2000,Mazha,Sastrigal,Biju Menon,,,,1,,,,,,,,,,Lenin Rajendran,6.9
368,2000,Sathyameva Jayate,Balasubhramanyar,Siddique,1,,,,,,,,,,,,,Milap Zavier,5.7
371,2000,Kochu Kochu Santhoshangal,Ramesh,Siddique,,,,1,,,,,,,,,,Sathyan Anthikkad,6.9
56,2000,Valliettan,Arackal Madhavanunni,Mammmootty,1,,,1,,,,,,,,,,Shaji Kailas,6.6
57,2000,Narasimham,Nandagopal Marar (cameo),Mammmootty,1,,,1,,,,,,,,,,Shaji Kailas,7.5
89,2000,Narasimham,Poovalli Indrachoodan,Mohanlal,1,,,1,,,,,,,,,,Shaji Kailas,7.5
370,2000,Valyettan,Arakkal Raghu,Siddique,1,,,,1,,,,,,,,,Shaji Kailas,6.6
92,2000,Devadoothan,Vishal Krishnamoorthy,Mohanlal,,,,1,,,,1,1,,,,,Sibi Malayil,7.5
369,2000,Dany,Freddy,Siddique,,,1,1,,,,,,,,,,T.V.Chandran,7.1
55,2000,Dada Sahib,Abubacker/Dada Sahib,Mammmootty,1,,,1,,,,,,,,,,Vinayan,4.7
374,2001,Uthaman,SI Jayaraj,Siddique,1,,,1,,,,,,,,,,"Anil Kumar,Babu Narayanan",5.5
87,2001,Unnathangalil,Rakshakan,Mohanlal,,,,1,,,,,,,,,,Jomon,3.6
59,2001,Dubai,Ravi Mamman,Mammmootty,1,,,,1,,,,,,,,,Joshiy,3.8
86,2001,Praja,Zakir Ali Hussain,Mohanlal,1,,,,,,,,,,,,,Joshiy,3.8
187,2001,Meghamalhaar,Rajeev Menon,Biju Menon,,,,,,,,,,,1,,,Kamal,7.2
189,2001,Randaam Bhaavam,Jeevan,Biju Menon,1,,,1,,,,,,,,,,Lal Jose,6.9
179,2001,Aparanmaar Nagarathil,Sahadevan,Jayasurya,,,,,,,,,,,,,,Nisar,3.3
84,2001,Kakkakuyil,Sivaraman,Mohanlal,,,1,,,,,,,,1,,,Priyadarshan,6.3
85,2001,Ravanaprabhu,"Mangalassery Neelakandan, Karthikeyan",Mohanlal,1,,,1,,,,,,,1,,,Ranjith,7
373,2001,Ravanaprabhu,S.P.Sreenivasan,Siddique,1,,,1,,,,,,,,,,Ranjith,7
88,2001,Achaneyanenikkishtam,Mahadevan,Mohanlal,,,1,1,,,,,,,,,,Suresh Krishnan,4.8
188,2001,Achaneyaanenikkishtam,Anand,Biju Menon,,,1,1,,,,,,,,,,Suresh Krishnan,4.8
375,2001,Naranathu Thampuran,Dr.Rajeev,Siddique,,,,1,,,,,,,,,,Viji Thampi,4.4
60,2001,Rakshasa Rajav,Ramanadhan IPS,Mammmootty,1,,,,,1,,,,,,,,Vinayan,4.7
85,2002,Stop Violence,Saathaan,Prithviraj Sukumaran,1,,,1,,1,,,,,,,,A.K.Sajan,6.4
63,2002,Phantom,Phantom Phaliey,Mammmootty,1,,1,1,,,,,,,,,,Biju Varkey,4.7
62,2002,Kai Ethum Doorathu,Gopinathan,Mammmootty,,,,1,,,,,,,1,,,Fazil,3.4
376,2002,Kai Ethum Doorathu,Babunath,Siddique,,,,1,,,,,,,1,,,Fazil,3.4
83,2002,Chathurangam,Aatiprackal Jimmy Jacob,Mohanlal,1,,,1,1,,,,,,,,,K.Madhu,3
263,2002,Meesha Madavan,Eapen Pappachi,Indrajith Sukumaran,,,1,1,,,,,,,,,,Lal Jose,7.9
377,2002,Puthooramputhri Unniyarcha,Aromal Chekavar,Siddique,,,,1,,,,,,,,,,P.G.Vishwambaran,3.2
87,2002,Nakshathrakannula Rajakumaran Avanundoru Rajakumari,Anandu,Prithviraj Sukumaran,,,1,1,,,,,,,1,,,Rajasenan,3.3
86,2002,Nandanam,Manu Nandakumar,Prithviraj Sukumaran,,,1,1,,,,,,,1,,,Ranjith,7.3
380,2002,Nandanam,Balan,Siddique,,,,1,,,,,1,,,,,Ranjith,7.3
379,2002,Yathrakarude Sradhakku,Dr.Pradeep,Siddique,,,,1,,,,,,,1,,,Sathyan Anthikkad,6.8
82,2002,Thandavam,Kashinathan,Mohanlal,1,,,1,,,,,,,,,,Shaji Kailas,2.9
190,2002,Shivam,Bhadran K Menon,Biju Menon,,,,1,1,,,,,,,,,Shaji Kailas,4.3
239,2002,Chronic Bachelor,Hareendran,Biju Menon,,,1,1,,,,,,,,,,Siddique,6.5
378,2002,Kalachakram,Rajeev George,Siddique,1,,,,,,,,,,,,,Sonu Sisupal,3.9
61,2002,Dany,Danniel Thomson,Mammmootty,,,1,1,,,,,,,,,,T.V.Chandran,7.2
81,2002,Onnaman,Ravishankar,Mohanlal,1,,,1,1,,,,,,,,,Thampi Kannanthanam,2.8
177,2002,Pranayamanithooval,Vinod,Jayasurya,,,1,1,,,,,,,,,,Thulasidas ,0
176,2002,Kattuchembakam,Chandru,Jayasurya,,,,,,,,,,,1,,,Vinayan,3
178,2002,Oomapenninu Uriyadappayan,Bobby,Jayasurya,1,,1,1,,,,,,,,,,Vinayan,5
262,2002,Oomapenninu Uriyadappayan,Shyam Gopal Vama,Indrajith Sukumaran,,,1,1,,,,,,,,,,Vinayan,5
80,2003,Chakram,Chandrahasan,Prithviraj Sukumaran,1,,1,1,,,,,,,,,,A.K.Lohithadas,4.3
382,2003,Sadhanandante Samayam,Sudhakaran,Siddique,,,,,,,,,,,1,,,Aku Akbar,5.4
84,2003,Vellithira,Style Raj (Raghuram),Prithviraj Sukumaran,1,,1,1,,,,,,,,,,Bhadran,3.9
82,2003,Swapnakoodu,Kunjoonju (Alex Chandi),Prithviraj Sukumaran,,,1,1,,,,,,,,,,Kamal,6.3
175,2003,Swapnakoodu,Krishnamoorthy,Jayasurya,,,1,1,,,,,,,,,,Kamal,6.3
64,2003,Pattalam,Pattabhi Raman,Mammmootty,1,,1,1,,,,,,,,,,Lal Jose,5.1
191,2003,Pattaalam,Benny,Biju Menon,,,1,1,,,,,,,,,,Lal Jose,5.1
264,2003,Pattaalam,Nandakumar,Indrajith Sukumaran,,,1,1,,,,,,,,,,Lal Jose,5.1
192,2003,Anyar,Suraj Nambiar,Biju Menon,,,,1,,,,,,,,,,Lenin Rajendran,4.2
81,2003,Ammakillikoodu,Vivek,Prithviraj Sukumaran,,,1,1,,,,,,,,,,M.Padmakumar,5.3
78,2003,Kilichundan Mampazham,Abdul Khader,Mohanlal,,,1,,,,,,,,1,,,Priyadarshan,5.8
265,2003,Mizhi Randilum,Dr.Arun,Indrajith Sukumaran,,,,1,,,,,,,,,,Ranjith,5.8
383,2003,Mizhi Randilum,Dr.Menon,Siddique,,,,1,,,,,,,,,,Ranjith,5.8
385,2003,Manassinakkare,Tony Kombanakkadan,Siddique,,,,1,,,,,,1,,,,Sathyan Anthikkad,7.4
174,2003,Pulival Kalyanam,Harikrishnan,Jayasurya,,,1,,,,,,,,,,,Shafi,6.8
381,2003,Ente Veedu Appuvinteyum,C.I,Siddique,,,,1,,,,,,,,,,Sibi Malayil,6.7
65,2003,Chronic Bachelor,Sathyaprathapan,Mammmootty,,,1,1,,,,,,,,,,Siddique,6.5
77,2003,Mr. Brahmachari,Ananthan Thampi,Mohanlal,,,1,1,,,,,,,,,,Thulasidas,3.6
266,2003,Mullavalliyum Thenmavum,Andrew,Indrajith Sukumaran,,,,1,,,,,,,1,,,V.K.Prakash,4.8
79,2003,Balettan,Athaniparambil Balachandran,Mohanlal,,,1,1,,,,,,,,,,V.M.Vinu,6.3
83,2003,Meerayude Dukhavum Muthuvinte Swapnavum,Muthu,Prithviraj Sukumaran,,,,1,,,,,,,,,,Vinayan,3.6
384,2003,War And Love,Capt. Kabeer,Siddique,,,,,1,,,,,,,1,,Vinayan,2.2
80,2003,Hariharan Pillai Happy Aanu,Hariharan Pillai,Mohanlal,,,1,1,,,,,,,,,,Viswanathan Vaduthala,2.8
386,2004,Sasneham Sumithra,C.I,Siddique,,,,1,1,,,,,,,,,Ambadi Krishnan,5.5
68,2004,Kaazhcha,Madhavan,Mammmootty,,,,1,,,,,,,,,,Blessy,8.2
73,2004,Vismayathumbathu,Sreekumar,Mohanlal,,,1,,1,,,1,,,,,,Fazil,5
76,2004,Mampazhakkalam,Puramanayil Chandran,Mohanlal,,,1,1,,,,,,,,,,Joshiy,4.3
267,2004,Runway,Balu Damodar,Indrajith Sukumaran,1,,,,1,,,,,,,,,Joshiy,6.7
71,2004,Sethurama Iyer CBI,Sethurama Iyer,Mammmootty,,,,,1,,,1,,,,,,K.Madhu,7.2
387,2004,Sethurama Iyer CBI,Balagopal,Siddique,,,,,1,,,1,,,,,,K.Madhu,7.2
598,2004,Sethurama Iyer CBI,Broker,Suraj Venjaramoodu,,,,,1,,,1,,,,,,K.Madhu,7.2
240,2004,Perumazhakkalam,John Kuruvila,Biju Menon,,,,1,,,,,,,,,,Kamal,7.1
389,2004,Chathikkatha Chanthu,Vaumathi's Uncle,Siddique,,,,1,,,,,,,,,,Meccartin,6.8
74,2004,Wanted,Narayana Swamy,Mohanlal,1,,,,1,1,,,,,,,,Murali Nagavally,4.7
70,2004,Vajram,Devarajan,Mammmootty,1,,,1,,,,,,,,,,Pappan,3.2
171,2004,Chathikkatha Chanthu,Chanthu,Jayasurya,,,,1,,,,,,,,,,Raffi,6.8
67,2004,Black,Karikkamuri Shanmukhan,Mammmootty,1,,,,1,1,,,,,,,,Ranjith,6.4
69,2004,Aparichithan,Raghuram,Mammmootty,,1,,,1,,,1,1,,,,,Sanjiv Sivan,5.1
75,2004,Natturajavu,Pulikkattil Charlie,Mohanlal,1,,,1,1,,,,,,,,,Shaji Kailas,4.5
390,2004,Natturajavu,Pathiriveettil Sunny,Siddique,,,,1,1,,,,,,,,,Shaji Kailas,4.5
170,2004,Greetings,Janakarajan,Jayasurya,,,1,,,,,,,,1,,,Shajoon Karyal,3.5
78,2004,Akale,Neil,Prithviraj Sukumaran,,,,1,,,,,,,,,,Shyamaprasad,6.8
72,2004,Vamanapuram Bus Route,Lever Johny,Mohanlal,1,,1,1,,,,,,,,,,Sonu Sisupal,2.2
77,2004,Kadha,Nandan Menon,Prithviraj Sukumaran,,,,,,,,,,,1,,,Sundar Das,3.3
172,2004,Kerala House Udan Vilpanaku,Sarvesh,Jayasurya,,,1,,,,,,,,,,,Thaaha,3.8
66,2004,Vesham,Appu,Mammmootty,,,,1,,,,,,,,,,V.M.Vinu,5.9
268,2004,Vesham,Hariprasad,Indrajith Sukumaran,,,,1,,,,,,,,,,V.M.Vinu,5.9
76,2004,Sathyam ,Sanjeev Kumar,Prithviraj Sukumaran,1,,,,1,,,,,,,,,Vinayan,4.4
79,2004,Vellinakshathram,Vinod Varma Chandrachoodan,Prithviraj Sukumaran,,,,,,,,1,1,,,,,Vinayan,4.8
173,2004,Vellinakshathram,Indu's Fiancee,Jayasurya,,,,,,,,1,1,,,,,Vinayan,4.8
388,2004,Vellinakshathram,Manavenda Varma/Mahendra Varma,Siddique,,,,,,,,1,1,,,,,Vinayan,4.8
73,2005,Rajamanikyam,Bellary Raja,Mammmootty,1,,1,,,,,,,,,,,Anwar Rasheed,7.7
69,2005,Udayon,"Shooranad Pappoyi, Shooranad Kunju",Mohanlal,1,,,1,,,,,,1,,,,Bhadran,4.3
71,2005,Thanmathra,Rameshan Nair,Mohanlal,,,,1,,,,,,,,,,Blessy,8.4
72,2005,Devanamathil,Anwar,Prithviraj Sukumaran,,,,1,,,,,,,,,,Jayaraj,6.3
70,2005,Naran,Mullankolli Velayudhan,Mohanlal,1,,,,1,,,,,,,,,Joshiy,7.2
392,2005,Naran,Gopinathan Nambiar,Siddique,1,,,,1,,,,,,,,,Joshiy,7.2
271,2005,Deepangal Sakshi,Rishikesh,Indrajith Sukumaran,,,,1,,,,,,,,,,K.B.Madhu,3
74,2005,Nerariyan CBI,Sethurama Iyer,Mammmootty,,,,,1,,,1,,,,,,K.Madhu,5.9
75,2005,Rappakal,Krishnan,Mammmootty,,,1,1,,,,,,,,,,Kamal,7.2
241,2005,Chanthupottu,Freddy,Biju Menon,,,,1,,,,,,,1,,,Lal Jose,6.6
272,2005,Chanthupottu,Komban Kumaran,Indrajith Sukumaran,,,,1,,,,,,,1,,,Lal Jose,6.6
76,2005,Thaskara Veeran,Arakkal Baby,Mammmootty,1,,1,,,,,,,,1,,,Pappan,2.7
168,2005,Immini Nalloral,Jeevan,Jayasurya,,,1,,,,,,,,1,,,Rajasenan,2.4
68,2005,Chandrolsavam,Chirakkal Sreehari,Mohanlal,1,,,1,1,,,,,,,,,Ranjith,6.4
67,2005,Udayananu Tharam,Udayabhanu,Mohanlal,,,1,,,,,,,,,,,Roshan Andrews,7.9
71,2005,Anathabhadram,Anandan,Prithviraj Sukumaran,,,,1,,,,,1,,,,,Santosh Sivan,7.2
242,2005,Anandabhadram,Siva Ram,Biju Menon,,,,1,,,,,1,,,,,Santosh Sivan,7.2
597,2005,Achuvinte Amma,Bus Conductor,Suraj Venjaramoodu,,,1,1,,,,,,,,,,Sathyan Anthikkad,6.9
269,2005,Finger Print ,Kishore Varma,Indrajith Sukumaran,,,,,,1,,1,,,,,,Satish Paul,4.7
77,2005,Thommanum Makkalum,Sivan,Mammmootty,1,,1,1,,,,,,,,,,Shafi,6.6
73,2005,Police,Shekar,Prithviraj Sukumaran,,,,,1,1,,,,,,,,V.K.Prakash,4.2
270,2005,Police,Anandh,Indrajith Sukumaran,,,,,1,,,,,,,,,V.K.Prakash,4.2
72,2005,Bus Conductor,Zakir Hussain,Mammmootty,1,,1,,,,,,,,,,,V.M.Vinu,3.8
169,2005,Bus Conductor,Najeeb,Jayasurya,,,1,,,,,,,,,,,V.M.Vinu,3.8
596,2005,Bus Conductor,Bus Conductor,Suraj Venjaramoodu,1,,,1,,,,,,,,,,V.M.Vinu,3.8
74,2005,Krithyam,Sathya Christy Lopez,Prithviraj Sukumaran,1,,,,1,,,,,,,,,Viji Thampi,3.9
273,2005,Krithyam,Ramdas Menon,Indrajith Sukumaran,1,,,,1,,,,,,,,,Viji Thampi,3.9
391,2005,Krithyam,ACP Surya Narayanan,Siddique,1,,,,1,,,,,,,,,Viji Thampi,3.9
75,2005,Albudhadweep,Hari,Prithviraj Sukumaran,1,1,1,,,,,,,,,,,Vinayan,5.4
166,2006,Smart City,Varun,Jayasurya,1,,,,1,,,,,,,,,B.Unnikrishnan,4.8
78,2006,Palunku,Monichan,Mammmootty,,,,1,,,,,,,,,,Blessy,6.4
83,2006,Balram vs. Tharadas,Balaram/Tharadas,Mammmootty,1,,,,1,1,,,,,,,,I.V.Sasi,2.9
84,2006,Thuruppu Gulan,Kunjumon aka Gulan,Mammmootty,1,,1,,,,,,,,,,,Johny Antony,5
81,2006,Bhargava Charitham Moonam Khandam,Current Bharghavan,Mammmootty,1,,1,,,,,,,,,,,Jomon,3
80,2006,Pothen Vava,Pothen Vava,Mammmootty,1,,1,1,,,,,,,,,,Joshiy,4.1
79,2006,Karutha Pakshikal,Murugan,Mammmootty,,,,1,,,,,,,,,,Kamal,6.9
69,2006,Classmates,Sukumaran,Prithviraj Sukumaran,,,,1,,,,1,,,1,,,Lal Jose,8.1
165,2006,Classmates,Satheeshan Kanjikuzhy,Jayasurya,,,,1,,,,1,,,1,,,Lal Jose,8.1
274,2006,Achanurangatha Veedu,Police Officer,Indrajith Sukumaran,,,,,,,,,,1,,,,Lal Jose,3
275,2006,Classmates,Pious George,Indrajith Sukumaran,,,,1,,,,1,,,,,,Lal Jose,8.1
594,2006,Classmates,Ousepp,Suraj Venjaramoodu,,,,1,,,,1,,,,,,Lal Jose,8.1
67,2006,Pakal,Nandakumar,Prithviraj Sukumaran,,,,,,,,,,,,,,M.A.Nishad,6.6
68,2006,Vasthavam,Balachandran Adiga,Prithviraj Sukumaran,1,,,,1,1,,,,,,,,M.Padmakumar,7.1
70,2006,Vargam,Solomon Joseph,Prithviraj Sukumaran,1,,,,,1,,,,,,,,M.Padmakumar,6.1
244,2006,Keerthi Chakra,Gopinath,Biju Menon,1,,,,,,,,,,,1,,Major Ravi,7.1
63,2006,Keerthi Chakra,Major Mahadevan,Mohanlal,1,,,1,,,,,,,,1,,Major Revi,7.1
65,2006,Photographer,"Dijo John, Joy John",Mohanlal,1,,1,1,,,,,,,,,,Ranjan Pramod,4.6
82,2006,Prajapathi,Devarmadam Narayanan,Mammmootty,1,,,,1,,,,,,,,,Ranjith,3.8
393,2006,Prajapathi,Kaliyarmadom Giri,Siddique,1,,,,1,,,,,,,,,Ranjith,3.8
64,2006,Mahasamudram,Isahak,Mohanlal,1,,,1,,,,,,,,,,S.Janardhanan,2.8
60,2006,Kilukkam Kilukilukkam,Joji,Mohanlal,,,1,,,,,,,,,,,Sandhya Mohan,2.3
167,2006,Kilukkam Kilukilukkam,Balu,Jayasurya,,,1,,,,,,,,,,,Sandhya Mohan,2.3
61,2006,Rasathanthram,Premachandran,Mohanlal,,,1,1,,,,,,1,,,,Sathyan Anthikkad,6.5
595,2006,Rasathantharam,Suresh,Suraj Venjaramoodu,,,,1,,,,,,,,,,Sathyan Anthikkad,6.5
66,2006,Baba Kalyani,Baba Kalyani,Mohanlal,1,,,1,1,,,1,,,,,,Shaji Kailas,5.4
245,2006,Baba Kalyani,CI Thomas,Biju Menon,1,,,,1,,,,,,,,,Shaji Kailas,5.4
277,2006,Baba Kalyani,Babu,Indrajith Sukumaran,1,,,,1,,,,,,,,,Shaji Kailas,5.4
394,2006,Baba Kalyani,DIG Raghupathi,Siddique,1,,,,1,,,,,,,,,Shaji Kailas,5.4
62,2006,Vadakkumnathan,Iringannoor Bharatha Pisharadi,Mohanlal,,,,1,,,,,,,1,,,Shajoon Karyal,6.5
243,2006,Vadakkumnadhan,Prabhakara Pisharadi,Biju Menon,,,,1,,,,,,,1,,,Shajoon Karyal,3.5
276,2006,Oruvan,Sivan,Indrajith Sukumaran,,,,1,,,,,,,,,,Vinoo Anand,6.2
89,2007,Big B,Bilal John Kurishinkal,Mammmootty,1,,,,1,1,,,,,,,,Amal Neerad,7.6
193,2007,Bharathan Effect,Bharathan,Biju Menon,,,1,,,,,,,,,,,Anil Das,4.9
54,2007,Chotta Mumbai,"Vasco da ""Thala"" Gama",Mohanlal,1,,1,,,1,,,,,,,,Anwar Rasheed,6.9
278,2007,Chotta Mumbai,Thomichan,Indrajith Sukumaran,1,,,,,,,,,,,,,Anwar Rasheed,6.9
592,2007,Chotta Mumbai,Suni,Suraj Venjaramoodu,1,,,,,,,,,,,,,Anwar Rasheed,6.9
65,2007,Kaakki,Unnikrishnan,Prithviraj Sukumaran,1,,,,1,,,,,,,,,Bipin Prabhakar,3.8
280,2007,Ayur Rekha,Anand,Indrajith Sukumaran,,,1,,1,,,,,,,,,G.M.Manu,4.1
86,2007,Nazrani,David John Kottarathil,Mammmootty,1,,,1,,,,1,,,,,,Joshiy,4.2
395,2007,Nadiya Kollappetta Rathri,Usthad Ghulam Musafir,Siddique,1,,,,1,,,,,,,,,K.Madhu,5.8
64,2007,Veeralipattu,Hari,Prithviraj Sukumaran,,,,1,,,,,,,,,,Kukku Surendran,5.3
162,2007,Arabikadha,Sidarthan,Jayasurya,,,,1,,,,,,,,,,Lal Jose,7.5
279,2007,Arabikadha,Anwar,Indrajith Sukumaran,,,,1,,,,,,,,,,Lal Jose,7.5
85,2007,Katha Parayumbol,Ashok Raj,Mammmootty,,,1,1,,,,,,,,,,M.Mohanan,7.6
589,2007,Katha Parayumbol,Pappan Kudumaloor,Suraj Venjaramoodu,,,,1,,,,,,,,,,M.Mohanan,7.6
88,2007,Mission 90 Days,Major Sivaram,Mammmootty,1,,,,1,1,1,,,,,,,Major Ravi,6.3
57,2007,Paradesi,Valiyakathu Moosa,Mohanlal,,,,1,,,,,,,,,,P.T.Kunju Muhammed,6.9
593,2007,Sketch,Bhaskaran,Suraj Venjaramoodu,1,,,,1,,,,,,,,,Prasad Yadav,2
62,2007,Mozhi,Karthik,Prithviraj Sukumaran,,,1,,,,,,,,1,,,Radha Mohan,8
55,2007,Hallo,Sivaraman,Mohanlal,,,1,,,,,1,,,,,,Raffi,6.6
396,2007,Hallo,Mahesh Bhai,Siddique,,,1,,,,,1,,,,,,Raffi,6.6
591,2007,Hallo,Inspector,Suraj Venjaramoodu,,,1,,,,,1,,,,,,Raffi,6.6
61,2007,Kangaroo,Josekutty,Prithviraj Sukumaran,,,1,1,,,,,,,1,,,Raj Babu,3.8
158,2007,Kangaroo,Monichan,Jayasurya,,,1,1,,,,,,,1,,,Raj Babu,3.8
91,2007,Kaiyoppu,Balachandran,Mammmootty,,,,1,,,,,,,,,,Ranjith,8
58,2007,Rock N' Roll,Chandramouli,Mohanlal,,,1,1,,,,,,,,,,Ranjith,3.7
397,2007,Rock & Roll,Gunasekharan,Siddique,,,,1,,,,,,,,,,Ranjith,3.7
590,2007,Rock & Roll,Music Composer Maharaja(P.P.Shiju),Suraj Venjaramoodu,,,,1,,,,,,,,,,Ranjith,3.7
164,2007,Changathipoocha,Sivankutty,Jayasurya,,,1,,,,,,,,1,,,S.P.Mahesh,2.8
161,2007,Kichamani MBA,Sajan,Jayasurya,1,,,,,,,,,,,,,Samad Mankada,2.8
90,2007,Mayavi,Mahi aka Mayavi,Mammmootty,1,,1,1,,,,,,,,,,Shafi,6.8
63,2007,Chocolate,Shyam Balagopal,Prithviraj Sukumaran,,,1,,,,,,,,1,,,Shafi,6.2
160,2007,Chocolate,Renjith,Jayasurya,,,1,,,,,,,,1,,,Shafi,6.2
56,2007,Alibhai,"Anwar ""Ali Bhai"" Ali",Mohanlal,1,,,,,,,,,,,,,Shaji Kailas,3.2
87,2007,Ore Kadal,Dr. S. R. Nathan,Mammmootty,,,,1,,,,,,,1,,,Shyamaprasad,7.2
59,2007,Flash,Dr. Midhun Madhav,Mohanlal,,,,1,1,,,1,,,,,,Sibi Malayil,3.2
283,2007,Flash,Priyan,Indrajith Sukumaran,,,,1,1,,,,,,,,,Sibi Malayil,3.2
66,2007,Avan Chandiyude Makan,Kurian Chandy,Prithviraj Sukumaran,1,,,1,,,,,,,,,,Thulasidas,6.2
159,2007,Hareendran Oru Nishkalankan,Gopalakrishnan,Jayasurya,,,,1,,,,,,,,,,Vinayan,2.9
163,2007,Athishayan,Roy,Jayasurya,1,,1,1,,,,,,,,,,Vinayan,2.9
282,2007,Hareendran Oru Nishkalankan,Hareedra Varma,Indrajith Sukumaran,,,,1,,,,,,,,,,Vinayan,2.9
281,2007,Heart Beats,Binoy Idikulla,Indrajith Sukumaran,,,1,1,,,,,,,,,,Vinoo Anand,4.3
284,2008,Kanal Kanadi,Vivek Iyer,Indrajith Sukumaran,,,,1,,,,,,,,,,AK Jayan Poduval,2.6
585,2008,Veruthe Oru Bharya,Ali,Suraj Venjaramoodu,,,,1,,,,,,,,,,Aku Akbar,6.3
95,2008,Annan Thambi,Appu/Achu,Mammmootty,1,,1,,,,,,,1,,,,Anwar Rasheed,5.7
398,2008,Annan Thampi,Govindan,Siddique,,,1,,,,,,,,,,,Anwar Rasheed,5.7
587,2008,Annan Thampi,Peethambaran,Suraj Venjaramoodu,,,1,,,,,,,,,,,Anwar Rasheed,5.7
48,2008,Mizhikal Sakshi,Prof. Saeed Ahmed,Mohanlal,,,,1,,,,,,,,,,Ashok R.Nath,6.6
49,2008,Madampi,Putthanpurakkal Gopalakrishna Pillai,Mohanlal,,,,1,,,,,,,,,,B.Unnikrishnan,6.4
399,2008,Madambi,Sreedaran,Siddique,,,,1,,,,,,,,,,B.Unnikrishnan,6.4
586,2008,Madambi,Thallu Kolli(Keedam),Suraj Venjaramoodu,,,,1,,,,,,,,,,B.Unnikrishnan,6.4
157,2008,De Ingottu Nokiye ,Sivan,Jayasurya,,,1,,,,,,,,,,,Balachandran Menon,2.5
60,2008,One Way Ticket,Kunjappu,Prithviraj Sukumaran,,,1,1,,,,,,,,,,Bipin Prabhakar,3.6
285,2008,Calcutta News,Hari,Indrajith Sukumaran,,,,,,1,,,,,1,,,Blessy,6.3
249,2008,Crazy Gopalan,Police Commissioner,Biju Menon,,,1,,,,,,,,,,,Deepu Karunakaran,5
286,2008,Malabar Wedding,Manukuttan,Indrajith Sukumaran,,,1,,,,,,,,,,,Fasil,4.9
287,2008,Soorya Kireedam,Sivaram,Indrajith Sukumaran,,,,,,,,,1,,,,,George Kithu,5.1
92,2008,Twenty:20,Advt. Ramesh Nambiar,Mammmootty,1,,,1,1,1,,1,,,,,,Joshiy,6.8
52,2008,Twenty:20,Devaraja Prathapa Varma,Mohanlal,1,,,1,1,1,,1,,,,,,Joshiy,6.8
248,2008,Twenty:20,ASP Jacob Eraly,Biju Menon,1,,,,1,,,,,,,,,Joshiy,6.8
289,2008,Twenty:20,Arun Kumar,Indrajith Sukumaran,1,,,,1,,,,,,,,,Joshiy ,6.8
401,2008,Twenty:20,Madhava Menon,Siddique,1,,,,1,,,,,,,,,Joshiy,6.8
583,2008,Twenty:20,Ramu,Suraj Venjaramoodu,1,,,,1,,,,,,,,,Joshiy,6.8
50,2008,Aakasha Gopuram,Albert Samson,Mohanlal,,,,1,,,,,,,1,,,K.P.Kumaran,4.5
154,2008,Minnaminnikoottam,Maani Kunju,Jayasurya,,,,,1,,,,,,1,,,Kamal,3.9
288,2008,Minnaminnikoottam,Siddarth,Indrajith Sukumaran,,,,,1,,,,,,1,,,Kamal,3.9
246,2008,Mulla,Ambi,Biju Menon,,,,1,,,,,,,,,,Lal Jose,4.6
588,2008,Mulla,Bijumon,Suraj Venjaramoodu,,,,1,,,,,,,,,,Lal Jose,4.6
94,2008,Parunthu,Parunthu Purushothaman,Mammmootty,1,,,,1,,,,,1,,,,M.Padmakumar,2.8
153,2008,Parunthu,Vinayan,Jayasurya,1,,,,1,,,,,1,,,,M.Padmakumar,2.8
59,2008,Thalappavu,Naxal Joseph,Prithviraj Sukumaran,,,,1,,,,,,,,,,Madhupal,7.3
247,2008,Kurukshetra,Major Rajesh,Biju Menon,,,,,,,,,,,,1,,Major Ravi,5.7
