,Year,Movie_name,Role,Actor,Action,Adventure,Comedy,Drama,Thriller,Crime,History,Mystery,Fantasy,Family,Romance,War,Biography,Director,Rating
39,2018,Shikkari Shambhu,Peelipose aka Peeli,Kunchacko Boban,,,1,,,,,1,,,,,,Sugeeth,5.6
232,2018,Aanakkallan,Pavithran,Biju Menon,,,1,,,,,,,,,,,Suresh Divakar,5.1
6,2018,Odiyan,Odiyan Manickyan,Mohanlal,1,,,1,1,,,,1,,,,,V.A.Shrikumar,5.5
465,2018,Odiyan,Damodharan Nair,Siddique,,,,1,1,,,,,,,,,V.A.Shrikumar,5.5
222,2018,Rosappoo,Shanu,Biju Menon,,,1,,,,,,,,,,,Vinu Joseph,3.4
46,2019,Virus,Dr. Suresh Rajan,Kunchacko Boban,,,,1,1,,,,,,,,,Aashiq Abu,7.9
336,2019,Virus,Dr.Baburaj,Indrajith Sukumaran,,,,1,1,,,,,,,,,Aashiq Abu,7.9
26,2019,The Zoya Factor,Nikhil Khoda,Dulquer,,,1,1,,,,,,,1,,,Abhishek,4.2
181,2019,My Great Grandfather,Michael,Jayaram,,,1,1,,,,,,,,,,Aneesh Anwar,4.7
469,2019,Irupathiyonnaam Noottaandu,Father,Siddique,1,,,,,,,,,,1,,,Arun Gopy,3.3
25,2019,Oru Yamandan Premakadha,Lallu (Mohanlal John Kombanayil),Dulquer,,,1,1,,,,,,,1,,,B.C.Noufal,5.3
494,2019,Oru Yamandan Premakadha,Francis,Suraj Venjaramoodu,,,1,1,,,,,,,,,,B.C.Noufal,5.3
0,2019,Kodathi Samaksham Balan Vakeel,Adv Balakrishnan,Dileep,,,1,,1,1,,1,,,,,,B.Unnikrishnan,5.8
470,2019,Kodathi Samaksham Balan Vakkeel,Somasekharan Pillai,Siddique,,,,1,,1,,,,,,,,B.Unnikrishnan,5.8
496,2019,Kodathi Samaksham Balan Vakkeel,P Mohanan Pillai SI ,Suraj Venjaramoodu,,,,1,,1,,,,,,,,B.Unnikrishnan,5.8
45,2019,Allu Ramendran,Ramendran,Kunchacko Boban,,,1,1,,,,,,,,,,Bilahari,5.6
31,2019,Love Action Drama,Dineshan,Nivin Pauly,,,1,,,,,,,,1,,,Dhyan Sreenivasan,5.2
488,2019,Chila NewGen Nattuvisheshangal,Nair,Suraj Venjaramoodu,,,1,1,,,,,,,,,,East Coast Vijayan,4
490,2019,Vikruthi,Eldo,Suraj Venjaramoodu,,,1,1,,,,,,,,,,Emcy Joseph,7.4
230,2019,Sathyam Parnjaa Vishwasikkuvo,Suni,Biju Menon,,,1,1,,,,,,,,,,G Prajith,5.7
